scenario_id,scenario_suite,scenario_group,pv_year,demand_year,price_year,ssr_target,ssr_target_pct,mip_gap_used,grid_to_bess_charging_allowed,bo_tac_eur,bo_bess_kwh,bo_achieved_ssr,bo_solver_status,bo_solve_elapsed_s,bo_best_bound_eur,bo_achieved_relative_gap,hyb_tac_eur,hyb_bess_kwh,hyb_ely_kw,hyb_fc_kw,hyb_tank_kg,hyb_h2_installed,hyb_achieved_ssr,hyb_solver_status,hyb_solve_elapsed_s,hyb_best_bound_eur,hyb_achieved_relative_gap,tac_delta_eur,tac_saving_pct
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.86,86,0.0001,False,20332.181059042417,460.8968947918531,0.8599999999999998,optimal,9.43658709526062,20332.18105904241,0.0,13794.553515542611,228.0381219082805,14.437839438892183,3.5502136540119564,25.27777479184073,True,0.86,optimal,29.73434948921204,13793.217895658969,9.682226265194498e-05,6537.627543499804,32.15408875474428
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.87,87,0.0001,False,24403.42073772132,548.0932478316146,0.8699999999999997,optimal,8.525979280471802,24403.42073772132,0.0,15803.094093175205,236.1512497564947,13.74867364780925,3.391772460689865,59.56013979963345,True,0.8699999999999999,optimal,31.49135446548462,15801.76221551562,8.42795500507493e-05,8600.326644546112,35.242299581600264
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.88,88,0.0001,False,31971.060524579025,709.0534070209861,0.8799999999999994,optimal,9.03,31971.060524579032,0.0,17843.557791822182,236.58285540287176,13.752003826484255,3.383658050312864,98.14278221620842,True,0.8799999999999998,optimal,34.44504141807556,17842.103717382288,8.149016338908943e-05,14127.502732756842,44.188408207152726
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.89,89,0.0001,False,42456.87066496765,931.4306505826954,0.8899999999999992,optimal,8.20992398262024,42456.87066496765,0.0,19906.41188065057,240.0480898217673,13.675341963845716,3.32,134.54510749768875,True,0.8899999999999998,optimal,35.14067220687866,19904.49029817488,9.653083073005656e-05,22550.45878431708,53.11380332824221
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.9,90,0.0001,False,64633.50029457149,1400.8344471754608,0.8999999999999987,optimal,8.511796712875366,64633.50029457148,0.0,21990.56292657677,244.9463687252191,13.658823397121546,3.232988689844437,169.66439559519915,True,0.8999999999999992,optimal,29.862117052078247,21988.53174566753,9.236602610070787e-05,42642.93736799472,65.97652482636201
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.91,91,0.0001,False,104827.08448397576,2251.648550873774,0.9099999999999988,optimal,8.600783348083496,104827.08448397572,0.0,24093.59501626977,244.9463687252193,13.658823397121548,3.566773597148317,208.0280449988564,True,0.91,optimal,30.205600023269653,24091.499480604423,8.697480238743908e-05,80733.48946770598,77.01586843240612
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.92,92,0.0001,False,145284.7413287167,3108.078746972333,0.9199999999999988,optimal,8.096477508544922,145284.7413287167,0.0,26210.127656607045,242.8872889074284,13.803630817375003,3.828094649603092,247.8150438768897,True,0.9200000000000006,optimal,32.635576248168945,26207.535429058255,9.890175212988784e-05,119074.61367210964,81.95947666843772
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.93,93,0.0001,False,185880.5716267869,3967.4503050408334,0.9299999999999992,optimal,8.230588436126709,185880.57162678687,0.0,28338.894661275117,240.01610494523277,14.005550499675,3.995655600694581,288.2737865103938,True,0.9299999999999998,optimal,31.701173305511475,28336.09595821349,9.875837060958192e-05,157541.67696551178,84.75424601223291
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.94,94,0.0001,False,226672.80799850373,4831.167143403244,0.9399999999999992,optimal,8.164333581924438,226672.80799850373,0.0,30485.93808016081,232.64149070009583,14.571872729999995,4.4260346335668,331.1099530297001,True,0.9399999999999998,optimal,32.033849477767944,30482.93643501851,9.845998946828622e-05,196186.8699183429,86.55068583243471
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.95,95,0.0001,False,267743.4532974378,5700.741515266834,0.9499999999999992,optimal,8.562467098236084,267743.4532974378,0.0,32669.88026914672,230.5637741230273,14.936579165924996,4.5472891997444185,370.7470404912092,True,0.9499999999999998,optimal,40.73333716392517,32666.960071293404,8.938501853263036e-05,235073.57302829108,87.79806569804208
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.96,96,0.0001,False,309023.6930847026,6575.391746344306,0.9599999999999996,optimal,8.59206748008728,309023.69308470254,1.8835986436002123e-16,34971.66509339152,226.3038896437404,17.06585194125,5.182883637701143,409.6077330275296,True,0.96,optimal,40.36295938491821,34968.17032041839,9.993155784248935e-05,274052.02799131104,88.68317676735359
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.97,97,0.0001,False,350508.1534916246,7454.028118118695,0.97,optimal,8.134562492370605,350508.1534916246,0.0,37444.32138741251,219.8214485702933,19.921331088100008,6.289394718056382,450.91908826432615,True,0.97,optimal,38.20555853843689,37440.63411632055,9.847343883772112e-05,313063.8321042121,89.31713256470445
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.98,98,0.0001,False,392225.2008536581,8337.774671110687,0.98,optimal,8.253454446792603,392225.2008536581,0.0,40088.846600671655,248.0539282898304,20.7541021863,7.217797261790813,472.951382502117,True,0.98,optimal,44.605836391448975,40084.9119212848,9.81489795916175e-05,352136.3542529865,89.77912522871546
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.99,99,0.0001,False,434458.9088204763,9232.01915706842,0.9900000000000008,optimal,8.203183650970459,434458.9088204763,0.0,42931.67342445923,254.99758790645456,23.8924945678445,8.16,509.9589104069997,True,0.99,optimal,53.69755864143372,42928.21411729194,8.05770400120752e-05,391527.2353960171,90.11835813402573
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,1.0,100,0.0001,False,478926.643466726,10172.11685493821,1.0,optimal,6.5087199211120605,478926.643466726,0.0,46821.98119521473,267.4992853800076,26.829518815066542,17.394426198036463,540.297428187916,True,1.0,optimal,15.747759342193604,46817.38036448682,9.826219673895136e-05,432104.6622715112,90.2235589032399
